,Scores
0,0.0
1,0.0
2,0.0
3,0.6999999843537807
4,0.23999999463558197
5,0.08999999798834324
6,0.7099999841302633
7,0.7199999839067459
8,0.4499999899417162
9,0.23999999463558197
10,0.5999999865889549
11,0.9499999787658453
12,0.36999999172985554
13,1.7599999606609344
14,0.1699999962002039
15,0.17999999597668648
16,0.8899999801069498
17,1.6899999622255564
18,0.7399999834597111
19,0.8399999812245369
20,0.6799999848008156
21,2.149999951943755
22,1.3499999698251486
23,1.4299999680370092
24,0.979999978095293
25,1.9999999552965164
26,0.9999999776482582
27,4.489999899640679
28,0.979999978095293
29,1.0199999772012234
30,1.8799999579787254
31,2.319999948143959
32,1.8699999582022429
33,3.7699999157339334
34,3.999999910593033
35,4.9399998895823956
36,1.529999965801835
37,3.1399999298155308
38,3.8199999146163464
39,4.039999909698963
40,3.63999991863966
41,4.5099998991936445
42,4.409999901428819
43,3.299999926239252
44,7.689999828115106
45,1.5599999651312828
46,4.139999907463789
47,4.089999908581376
48,6.809999847784638
49,4.3199999034404755
50,9.599999785423279
51,3.3299999255687
52,5.6099998746067286
53,7.509999832138419
54,5.649999873712659
55,9.36999979056418
56,9.109999796375632
57,8.899999801069498
58,1.1399999745190144
59,8.819999802857637
60,4.25999990478158
61,6.859999846667051
62,10.739999759942293
63,1.2999999709427357
64,5.009999888017774
65,6.149999862536788
66,2.699999939650297
67,0.9199999794363976
68,7.239999838173389
69,5.559999875724316
70,8.499999810010195
71,4.009999910369515
72,6.719999849796295
73,5.439999878406525
74,9.9899997767061
75,5.469999877735972
76,9.199999794363976
77,11.259999748319387
78,10.25999977067113
79,10.889999756589532
80,12.979999709874392
81,8.529999809339643
82,14.529999675229192
83,11.3099997472018
84,7.639999829232693
85,11.639999739825726
86,10.899999756366014
87,10.899999756366014
88,10.249999770894647
89,13.429999699816108
90,11.88999973423779
91,12.209999727085233
92,7.379999835044146
93,11.239999748766422
94,10.599999763071537
95,14.919999666512012
96,11.96999973244965
97,17.599999606609344
98,13.989999687299132
99,9.899999778717756
100,14.659999672323465
101,20.67999953776598
102,8.239999815821648
103,20.009999552741647
104,18.039999596774578
105,21.599999517202377
106,18.339999590069056
107,8.32999981380999
108,17.489999609068036
109,18.689999582245946
110,18.11999959498644
111,18.569999584928155
112,20.29999954625964
113,12.439999721944332
114,14.479999676346779
115,13.919999688863754
116,15.21999965980649
117,19.55999956279993
118,19.569999562576413
119,14.459999676793814
120,14.399999678134918
121,26.739999402314425
122,15.379999656230211
123,23.569999473169446
124,21.87999951094389
125,20.849999533966184
126,19.379999566823244
127,21.439999520778656
128,23.23999948054552
129,11.34999974630773
130,22.199999503791332
131,14.169999683275819
132,27.409999387338758
133,20.149999549612403
134,26.239999413490295
135,22.709999492391944
136,25.4899994302541
137,25.9499994199723
138,26.56999940611422
139,21.889999510720372
140,24.499999452382326
141,20.44999954290688
142,16.079999640583992
143,24.909999443218112
144,21.429999521002173
145,29.70999933592975
146,24.379999455064535
147,30.729999313130975
148,21.829999512061477
149,25.78999942354858
150,14.59999967366457
151,26.359999410808086
152,25.20999943651259
153,21.269999524578452
154,29.459999341517687
155,18.569999584928155
156,21.0699995290488
157,24.189999459311366
158,39.519999116659164
159,27.99999937415123
160,24.649999449029565
161,25.20999943651259
162,27.409999387338758
163,25.349999433383346
164,33.169999258592725
165,26.109999416396022
166,8.839999802410603
167,35.12999921478331
168,30.90999930910766
169,25.109999438747764
170,26.48999940790236
171,22.469999497756362
172,34.019999239593744
173,24.81999944522977
174,32.41999927535653
175,24.689999448135495
176,25.069999439641833
177,19.499999564141035
178,20.52999954111874
179,32.94999926351011
180,32.88999926485121
181,34.26999923400581
182,24.019999463111162
183,36.849999176338315
184,31.889999287202954
185,25.17999943718314
186,29.539999339729548
187,26.209999414160848
188,33.96999924071133
189,25.339999433606863
190,37.04999917186797
191,39.54999911598861
192,39.449999118223786
193,38.829999132081866
194,37.589999159798026
195,26.939999397844076
196,29.58999933861196
197,18.719999581575394
198,19.04999957419932
199,29.03999935090542
200,28.869999354705215
201,28.15999937057495
202,19.229999570176005
203,36.59999918192625
204,35.9399991966784
205,38.33999914303422
206,21.199999526143074
207,33.09999926015735
208,39.099999126046896
209,38.979999128729105
210,31.939999286085367
211,36.54999918304384
212,37.28999916650355
213,21.979999508708715
214,22.529999496415257
215,35.43999920785427
216,37.87999915331602
217,39.34999912045896
218,36.59999918192625
219,36.929999174550176
220,38.24999914504588
221,38.199999146163464
222,29.07999935001135
223,37.699999157339334
224,28.029999373480678
225,25.4899994302541
226,38.32999914325774
227,19.739999558776617
228,35.26999921165407
229,16.30999963544309
230,37.43999916315079
231,37.26999916695058
232,19.32999956794083
233,37.72999915666878
234,37.98999915085733
235,37.99999915063381
236,39.099999126046896
237,38.939999129623175
238,37.04999917186797
239,39.18999912403524
240,33.639999248087406
241,22.289999501779675
242,23.249999480322003
243,34.879999220371246
244,38.3499991428107
245,22.019999507814646
246,38.92999912984669
247,28.409999364987016
248,37.349999165162444
249,35.32999921031296
250,39.18999912403524
251,24.46999945305288
252,23.81999946758151
253,38.52999913878739
254,39.639999113976955
255,39.53999911621213
256,25.619999427348375
