,Scores
0,0.7299999836832285
1,0.9399999789893627
2,0.3499999921768904
3,0.42999999038875103
4,0.8499999810010195
5,0.3199999928474426
6,0.25999999418854713
7,0.19999999552965164
8,0.6399999856948853
9,0.36999999172985554
10,0.8499999810010195
11,1.7599999606609344
12,1.339999970048666
13,0.9199999794363976
14,0.7599999830126762
15,1.7399999611079693
16,0.7099999841302633
17,0.3899999912828207
18,0.0
19,0.5399999879300594
20,1.1099999751895666
21,1.4799999669194221
22,3.229999927803874
23,1.2499999720603228
24,0.5699999872595072
25,1.2299999725073576
26,3.159999929368496
27,2.199999950826168
28,1.5199999660253525
29,3.349999925121665
30,3.1899999286979437
31,3.3399999253451824
32,1.81999995931983
33,4.479999899864197
34,1.1399999745190144
35,4.499999899417162
36,2.5899999421089888
37,3.229999927803874
38,0.6099999863654375
39,4.91999989002943
40,2.779999937862158
41,5.619999874383211
42,3.689999917522073
43,5.1799998842179775
44,5.18999988399446
45,4.9899998884648085
46,3.1499999295920134
47,1.8699999582022429
48,2.659999940544367
49,1.5899999644607306
50,3.5499999206513166
51,1.959999956190586
52,2.109999952837825
53,2.3599999472498894
54,3.0499999318271875
55,4.419999901205301
56,1.6399999633431435
57,2.009999955072999
58,4.789999892935157
59,3.179999928921461
60,3.1899999286979437
61,5.319999881088734
62,3.1199999302625656
63,1.4199999682605267
64,3.419999923557043
65,2.009999955072999
66,4.069999909028411
67,0.2299999948590994
68,5.409999879077077
69,5.14999988488853
70,1.889999957755208
71,4.91999989002943
72,3.009999932721257
73,8.079999819397926
74,9.629999784752727
75,4.449999900534749
76,8.679999805986881
77,3.8599999137222767
78,6.799999848008156
79,11.099999751895666
80,5.4199998788535595
81,3.8199999146163464
82,8.839999802410603
83,5.649999873712659
84,6.249999860301614
85,4.399999901652336
86,2.5699999425560236
87,10.979999754577875
88,6.609999852254987
89,5.409999879077077
90,8.489999810233712
91,4.369999902322888
92,13.179999705404043
93,4.669999895617366
94,8.839999802410603
95,7.709999827668071
96,12.449999721720815
97,8.28999981470406
98,12.899999711662531
99,5.7299998719245195
100,6.3299998585134745
101,2.7399999387562275
102,8.759999804198742
103,9.199999794363976
104,8.419999811798334
105,5.1799998842179775
106,7.479999832808971
107,18.569999584928155
108,9.579999785870314
109,6.009999865666032
110,9.969999777153134
111,5.049999887123704
112,9.83999978005886
113,8.489999810233712
114,9.429999789223075
115,7.089999841526151
116,10.599999763071537
117,8.229999816045165
118,8.82999980263412
119,9.929999778047204
120,9.94999977760017
121,10.779999759048223
122,5.45999987795949
123,12.399999722838402
124,9.94999977760017
125,9.269999792799354
126,16.089999640360475
127,8.139999818056822
128,14.269999681040645
129,10.359999768435955
130,8.859999801963568
131,13.689999694004655
132,19.63999956101179
133,7.949999822303653
134,8.349999813362956
135,15.819999646395445
136,6.199999861419201
137,11.329999746754766
138,9.009999798610806
139,24.51999945193529
140,7.129999840632081
141,14.919999666512012
142,8.199999816715717
143,8.119999818503857
144,15.019999664276838
145,9.83999978005886
146,12.19999972730875
147,18.379999589174986
148,14.90999966673553
149,23.409999476745725
150,16.129999639466405
151,20.459999542683363
152,11.959999732673168
153,15.849999645724893
154,13.859999690204859
155,15.399999655783176
156,15.21999965980649
157,19.849999556317925
158,13.769999692216516
159,12.669999716803432
160,18.959999576210976
161,13.139999706298113
162,16.129999639466405
163,10.189999772235751
164,10.64999976195395
165,8.369999812915921
166,21.639999516308308
167,15.519999653100967
168,20.52999954111874
169,22.07999950647354
170,18.27999959141016
171,17.749999603256583
172,20.90999953262508
173,17.57999960705638
174,21.21999952569604
175,24.409999454393983
176,20.589999539777637
177,24.839999444782734
178,20.91999953240156
179,25.44999943114817
180,21.099999528378248
181,18.719999581575394
182,29.209999347105622
183,15.539999652653933
184,18.849999578669667
185,27.64999938197434
186,24.1699994597584
187,16.29999963566661
188,11.92999973334372
189,21.749999513849616
190,28.45999936386943
191,27.399999387562275
192,29.099999349564314
193,23.789999468252063
194,16.829999623820186
195,25.809999423101544
196,23.789999468252063
197,29.099999349564314
198,26.94999939762056
199,36.44999918527901
200,24.82999944500625
201,19.069999573752284
202,29.12999934889376
203,21.79999951273203
204,27.56999938376248
205,31.709999291226268
206,30.199999324977398
207,31.979999285191298
208,24.039999462664127
209,23.669999470934272
210,32.049999283626676
211,28.38999936543405
212,31.049999305978417
213,28.299999367445707
214,33.87999924272299
215,39.48999911732972
216,39.099999126046896
217,34.599999226629734
218,33.79999924451113
219,27.099999394267797
220,33.57999924942851
221,25.649999426677823
222,32.16999928094447
223,30.179999325424433
224,35.39999920874834
225,34.50999922864139
226,35.32999921031296
227,26.36999941058457
228,31.609999293461442
229,34.369999231770635
230,39.33999912068248
231,28.029999373480678
232,29.209999347105622
233,28.359999366104603
234,35.13999921455979
235,28.529999362304807
236,35.16999921388924
237,32.99999926239252
238,34.16999923624098
239,33.439999252557755
240,35.16999921388924
241,34.99999921768904
242,35.82999919913709
243,36.43999918550253
244,35.04999921657145
245,36.74999917857349
246,32.72999926842749
247,36.89999917522073
248,39.4999991171062
249,38.25999914482236
250,36.90999917499721
251,25.699999425560236
252,38.549999138340354
253,35.88999919779599
254,37.47999916225672
255,39.479999117553234
256,36.50999918393791
257,35.65999920293689
258,38.239999145269394
259,31.0599993057549
260,38.669999135658145
261,38.55999913811684
262,38.01999915018678
263,36.12999919243157
264,30.759999312460423
265,32.22999927960336
266,38.72999913431704
267,38.859999131411314
268,29.619999337941408
269,38.72999913431704
270,36.29999918863177
271,38.75999913364649
272,38.6399991363287
273,39.62999911420047
274,35.499999206513166
275,38.69999913498759
