,Scores
0,0.3799999915063381
1,0.11999999731779099
2,0.8399999812245369
3,0.2299999948590994
4,0.35999999195337296
5,0.46999998949468136
6,0.5699999872595072
7,0.06999999843537807
8,0.3799999915063381
9,1.5899999644607306
10,0.36999999172985554
11,0.8199999816715717
12,1.2999999709427357
13,0.0
14,1.9999999552965164
15,0.029999999329447746
16,0.6499999854713678
17,1.8799999579787254
18,1.149999974295497
19,0.8999999798834324
20,1.5899999644607306
21,0.7799999825656414
22,1.6099999640136957
23,1.649999963119626
24,1.939999956637621
25,2.319999948143959
26,3.7499999161809683
27,1.9499999564141035
28,1.649999963119626
29,2.849999936297536
30,3.249999927356839
31,1.0399999767541885
32,2.1599999517202377
33,2.679999940097332
34,0.979999978095293
35,2.9299999345093966
36,2.109999952837825
37,4.669999895617366
38,3.6699999179691076
39,3.1699999291449785
40,4.069999909028411
41,4.999999888241291
42,2.179999951273203
43,4.179999906569719
44,4.419999901205301
45,5.789999870583415
46,5.049999887123704
47,2.819999936968088
48,3.109999930486083
49,6.139999862760305
50,3.489999921992421
51,2.699999939650297
52,3.01999993249774
53,1.1999999731779099
54,4.659999895840883
55,4.379999902099371
56,1.649999963119626
57,5.7299998719245195
58,3.01999993249774
59,3.1499999295920134
60,5.589999875053763
61,2.0699999537318945
62,4.059999909251928
63,7.1199998408555984
64,2.729999938979745
65,3.5499999206513166
66,2.7699999380856752
67,2.9799999333918095
68,0.7299999836832285
69,3.5499999206513166
70,2.989999933168292
71,2.029999954625964
72,4.179999906569719
73,3.5599999204277992
74,0.669999985024333
75,3.8199999146163464
76,4.979999888688326
77,1.839999958872795
78,3.109999930486083
79,5.289999881759286
80,6.2799998596310616
81,3.8599999137222767
82,4.5099998991936445
83,4.769999893382192
84,6.049999864771962
85,6.2099998611956835
86,6.199999861419201
87,4.4399999007582664
88,4.119999907910824
89,2.2199999503791332
90,7.259999837726355
91,2.369999947026372
92,8.059999819844961
93,6.609999852254987
94,6.34999985806644
95,3.179999928921461
96,3.569999920204282
97,4.889999890699983
98,2.7099999394267797
99,3.129999930039048
100,4.2699999045580626
101,6.0899998638778925
102,5.399999879300594
103,3.7699999157339334
104,2.5199999436736107
105,3.9599999114871025
106,5.129999885335565
107,2.0699999537318945
108,4.769999893382192
109,6.4499998558312654
110,6.2099998611956835
111,9.979999776929617
112,9.069999797269702
113,4.589999897405505
114,6.0899998638778925
115,6.229999860748649
116,8.579999808222055
117,4.579999897629023
118,1.3499999698251486
119,5.949999867007136
120,5.22999988310039
121,5.139999885112047
122,1.7599999606609344
123,4.8699998911470175
124,6.6399998515844345
125,7.419999834150076
126,3.879999913275242
127,6.269999859854579
128,9.119999796152115
129,7.219999838620424
130,3.3899999242275953
131,8.399999812245369
132,8.139999818056822
133,0.0
134,5.889999868348241
135,3.6499999184161425
136,6.289999859407544
137,2.899999935179949
138,10.719999760389328
139,4.329999903216958
140,5.429999878630042
141,2.2799999490380287
142,11.919999733567238
143,6.379999857395887
144,2.3999999463558197
145,5.759999871253967
146,9.579999785870314
147,3.6499999184161425
148,8.219999816268682
149,8.179999817162752
150,7.809999825432897
151,4.149999907240272
152,2.919999934732914
153,4.8699998911470175
154,11.359999746084213
155,5.919999867677689
156,6.149999862536788
157,3.2599999271333218
158,6.909999845549464
159,11.709999738261104
160,7.749999826774001
161,4.189999906346202
162,3.299999926239252
163,6.239999860525131
164,3.7499999161809683
165,4.019999910145998
166,1.529999965801835
167,9.249999793246388
168,3.569999920204282
169,4.209999905899167
170,2.4699999447911978
171,6.789999848231673
172,3.5999999195337296
173,11.819999735802412
174,5.789999870583415
175,7.719999827444553
176,11.26999974809587
177,3.94999991171062
178,5.399999879300594
179,4.4399999007582664
180,1.649999963119626
181,8.179999817162752
182,6.319999858736992
183,7.31999983638525
184,5.559999875724316
185,5.259999882429838
186,6.73999984934926
187,3.2699999269098043
188,8.219999816268682
189,4.289999904111028
190,8.409999812021852
191,5.709999872371554
192,7.479999832808971
193,7.04999984242022
194,4.769999893382192
195,4.009999910369515
196,13.289999702945352
197,7.329999836161733
198,8.47999981045723
199,3.1999999284744263
200,6.509999854490161
201,5.829999869689345
202,4.539999898523092
203,7.9799998216331005
204,0.7099999841302633
205,8.799999803304672
206,1.9499999564141035
207,7.039999842643738
208,6.03999986499548
209,13.059999708086252
210,4.209999905899167
211,7.6699998285621405
212,8.059999819844961
213,3.249999927356839
214,7.469999833032489
215,7.999999821186066
216,11.409999744966626
217,2.6699999403208494
218,6.259999860078096
219,7.699999827891588
220,2.489999944344163
221,4.049999909475446
222,3.7199999168515205
223,9.94999977760017
224,4.889999890699983
225,3.709999917075038
226,10.469999765977263
227,1.7499999608844519
228,4.899999890476465
229,3.0499999318271875
230,5.449999878183007
231,6.299999859184027
232,6.2099998611956835
233,10.60999976284802
234,5.619999874383211
235,5.469999877735972
236,6.709999850019813
237,9.309999791905284
238,5.489999877288938
239,7.919999822974205
240,4.149999907240272
241,5.879999868571758
242,10.119999773800373
243,6.129999862983823
244,7.469999833032489
245,8.099999818950891
246,6.249999860301614
247,7.519999831914902
248,4.52999989874661
249,7.019999843090773
250,3.9799999110400677
251,3.569999920204282
252,5.14999988488853
253,5.519999876618385
254,6.379999857395887
255,6.0899998638778925
256,12.42999972216785
257,2.899999935179949
258,5.6099998746067286
259,3.9099999126046896
260,13.309999702498317
261,9.40999978967011
262,11.329999746754766
263,4.239999905228615
264,7.259999837726355
265,8.989999799057841
266,10.769999759271741
267,5.409999879077077
268,9.069999797269702
269,7.089999841526151
270,3.449999922886491
271,5.939999867230654
272,9.589999785646796
273,4.979999888688326
274,5.579999875277281
275,6.379999857395887
276,3.8599999137222767
277,6.459999855607748
278,11.92999973334372
279,8.049999820068479
280,4.189999906346202
281,8.059999819844961
282,7.229999838396907
283,6.439999856054783
284,8.099999818950891
285,6.529999854043126
286,12.909999711439013
287,8.799999803304672
288,5.869999868795276
289,7.729999827221036
290,7.079999841749668
291,7.639999829232693
292,10.139999773353338
293,12.989999709650874
294,3.129999930039048
295,6.939999844878912
296,9.089999796822667
297,5.18999988399446
298,7.4299998339265585
299,9.849999779835343
300,6.499999854713678
301,7.58999983035028
302,4.329999903216958
303,6.169999862089753
304,7.039999842643738
305,7.04999984242022
306,8.339999813586473
307,10.629999762400985
308,9.079999797046185
309,6.339999858289957
310,10.309999769553542
311,9.769999781623483
312,10.099999774247408
313,4.489999899640679
314,6.029999865218997
315,5.249999882653356
316,5.019999887794256
317,8.279999814927578
318,9.359999790787697
319,9.729999782517552
320,9.009999798610806
321,9.09999979659915
322,8.669999806210399
323,9.789999781176448
324,10.899999756366014
325,10.099999774247408
326,1.5399999655783176
327,6.539999853819609
328,5.349999880418181
329,7.299999836832285
330,3.0799999311566353
331,1.529999965801835
332,10.539999764412642
333,8.839999802410603
334,2.7599999383091927
335,10.499999765306711
336,9.769999781623483
337,7.379999835044146
338,8.139999818056822
339,9.019999798387289
340,5.089999886229634
341,5.129999885335565
342,3.519999921321869
343,8.109999818727374
344,0.6399999856948853
345,7.329999836161733
346,4.029999909922481
347,7.919999822974205
348,12.27999972552061
349,10.089999774470925
350,4.309999903663993
351,9.849999779835343
352,8.47999981045723
353,5.549999875947833
354,8.919999800622463
355,7.609999829903245
356,8.349999813362956
357,5.7799998708069324
358,8.4399998113513
359,10.33999976888299
360,6.179999861866236
361,10.589999763295054
362,7.369999835267663
363,8.049999820068479
364,4.969999888911843
365,10.159999772906303
366,7.569999830797315
367,9.71999978274107
368,8.969999799504876
369,10.479999765753746
370,3.779999915510416
371,8.199999816715717
372,11.639999739825726
373,8.709999805316329
374,8.139999818056822
375,7.239999838173389
376,20.739999536424875
377,11.789999736472964
378,7.89999982342124
379,18.11999959498644
380,11.119999751448631
381,8.849999802187085
382,5.409999879077077
383,25.43999943137169
384,7.139999840408564
385,8.689999805763364
386,9.689999783411622
387,7.959999822080135
388,8.109999818727374
389,8.649999806657434
390,3.9599999114871025
391,10.719999760389328
392,5.479999877512455
393,7.699999827891588
394,4.889999890699983
395,6.159999862313271
396,8.55999980866909
397,4.789999892935157
398,13.909999689087272
399,11.099999751895666
400,4.979999888688326
401,11.099999751895666
402,6.34999985806644
403,8.619999807327986
404,9.619999784976244
405,16.469999631866813
406,10.41999976709485
407,14.20999968238175
408,6.539999853819609
409,7.089999841526151
410,5.759999871253967
411,4.589999897405505
412,16.06999964080751
413,7.599999830126762
414,7.919999822974205
415,9.809999780729413
416,13.299999702721834
417,15.089999662712216
418,5.579999875277281
419,3.3199999257922173
420,6.96999984420836
421,8.24999981559813
422,9.319999791681767
423,4.9399998895823956
424,11.089999752119184
425,9.649999784305692
426,3.879999913275242
427,7.249999837949872
428,8.679999805986881
429,5.7299998719245195
430,10.95999975502491
431,6.749999849125743
432,8.689999805763364
433,16.549999630078673
434,9.999999776482582
435,8.029999820515513
436,13.999999687075615
437,8.449999811127782
438,5.2999998815357685
439,6.9499998446553946
440,5.9699998665601015
441,11.399999745190144
442,5.789999870583415
443,12.129999728873372
444,10.739999759942293
445,5.329999880865216
446,10.529999764636159
447,9.879999779164791
448,8.669999806210399
449,8.729999804869294
450,1.7499999608844519
451,12.289999725297093
452,13.209999704733491
453,10.929999755695462
454,5.409999879077077
455,13.809999691322446
456,15.169999660924077
457,12.729999715462327
458,9.019999798387289
459,5.989999866113067
460,6.499999854713678
461,4.539999898523092
462,8.819999802857637
463,6.929999845102429
464,13.759999692440033
465,9.44999978877604
466,11.679999738931656
467,17.57999960705638
468,12.109999729320407
469,10.359999768435955
470,7.679999828338623
471,7.709999827668071
472,6.059999864548445
473,4.8799998909235
474,9.269999792799354
475,6.73999984934926
476,11.739999737590551
477,10.25999977067113
478,9.129999795928597
479,17.979999598115683
480,8.659999806433916
481,9.029999798163772
482,4.549999898299575
483,6.459999855607748
484,12.439999721944332
485,4.1999999061226845
486,10.859999757260084
487,4.449999900534749
488,5.669999873265624
489,10.60999976284802
490,12.54999971948564
491,7.6699998285621405
492,8.189999816939235
493,10.009999776259065
494,8.229999816045165
495,9.83999978005886
496,4.689999895170331
497,9.859999779611826
498,8.199999816715717
499,10.25999977067113
500,15.079999662935734
501,9.63999978452921
502,10.869999757036567
503,10.91999975591898
504,11.279999747872353
505,12.289999725297093
506,5.699999872595072
507,7.509999832138419
508,11.859999734908342
509,4.549999898299575
510,5.019999887794256
511,8.59999980777502
512,11.509999742731452
513,13.97999968752265
514,8.699999805539846
515,13.139999706298113
516,3.999999910593033
517,6.34999985806644
518,15.079999662935734
519,8.719999805092812
520,5.679999873042107
521,12.759999714791775
522,10.449999766424298
523,15.549999652430415
524,13.909999689087272
525,11.439999744296074
526,8.51999980956316
527,20.039999552071095
528,11.519999742507935
529,5.119999885559082
530,6.259999860078096
531,11.429999744519591
532,14.28999968059361
533,8.719999805092812
534,10.209999771788716
535,8.929999800398946
536,14.01999968662858
537,14.279999680817127
538,9.629999784752727
539,8.359999813139439
540,11.719999738037586
541,15.069999663159251
542,15.329999657347798
543,6.459999855607748
544,11.03999975323677
545,9.71999978274107
546,11.799999736249447
547,9.94999977760017
548,16.8799996227026
549,12.089999729767442
550,10.25999977067113
551,15.209999660030007
552,10.37999976798892
553,16.509999630972743
554,16.1899996381253
555,16.799999624490738
556,7.399999834597111
557,2.1399999521672726
558,15.099999662488699
559,9.09999979659915
560,15.279999658465385
561,9.189999794587493
562,14.669999672099948
563,15.589999651536345
564,10.769999759271741
565,12.539999719709158
566,11.18999974988401
567,15.669999649748206
568,10.319999769330025
569,13.539999697357416
570,6.73999984934926
571,16.179999638348818
572,16.119999639689922
573,7.149999840185046
574,10.709999760612845
575,7.099999841302633
576,19.039999574422836
577,9.44999978877604
578,14.90999966673553
579,16.159999638795853
580,8.579999808222055
581,18.50999958626926
582,14.089999685063958
583,11.879999734461308
584,6.919999845325947
585,7.849999824538827
586,10.619999762624502
587,7.099999841302633
588,13.549999697133899
589,13.719999693334103
590,12.419999722391367
591,5.549999875947833
592,6.539999853819609
593,13.119999706745148
594,9.589999785646796
595,4.25999990478158
596,16.639999628067017
597,18.43999958783388
598,17.869999600574374
599,9.129999795928597
600,16.329999634996057
601,17.059999618679285
602,19.32999956794083
603,6.199999861419201
604,5.049999887123704
605,11.749999737367034
606,18.58999958448112
607,5.089999886229634
608,15.789999647065997
609,19.519999563694
610,7.179999839514494
611,6.259999860078096
612,4.849999891594052
613,14.029999686405063
614,15.349999656900764
615,18.759999580681324
616,21.56999951787293
617,0.30999999307096004
618,14.499999675899744
619,16.399999633431435
620,9.13999979570508
621,15.049999663606286
622,17.379999611526728
623,20.419999543577433
624,18.959999576210976
625,6.749999849125743
626,19.699999559670687
627,3.799999915063381
628,18.799999579787254
629,13.879999689757824
630,20.439999543130398
631,8.759999804198742
632,20.56999954022467
633,12.479999721050262
634,7.869999824091792
635,14.669999672099948
636,14.219999682158232
637,2.9799999333918095
638,19.63999956101179
639,8.569999808445573
640,17.919999599456787
641,7.1899998392909765
642,21.37999952211976
643,12.799999713897705
644,18.799999579787254
645,13.339999701827765
646,19.20999957062304
647,15.209999660030007
648,7.419999834150076
649,17.92999959923327
650,14.139999683946371
651,17.749999603256583
652,15.319999657571316
653,6.3299998585134745
654,12.929999710991979
655,9.289999792352319
656,20.969999531283975
657,15.809999646618962
658,19.139999572187662
659,21.49999951943755
660,13.239999704062939
661,20.82999953441322
662,19.179999571293592
663,11.57999974116683
664,7.139999840408564
665,10.559999763965607
666,15.109999662265182
667,24.259999457746744
668,10.509999765083194
669,14.569999674335122
670,15.549999652430415
671,15.539999652653933
672,13.659999694675207
673,16.239999637007713
674,7.509999832138419
675,17.609999606385827
676,18.259999591857195
677,16.789999624714255
678,14.049999685958028
679,11.959999732673168
680,16.37999963387847
681,3.659999918192625
682,14.629999672994018
683,11.129999751225114
684,12.989999709650874
685,7.389999834820628
686,3.4999999217689037
687,21.679999515414238
688,5.279999881982803
689,19.929999554529786
690,14.689999671652913
691,3.229999927803874
692,21.969999508932233
693,14.629999672994018
694,14.689999671652913
695,16.329999634996057
696,18.46999958716333
697,17.259999614208937
698,5.879999868571758
699,19.729999559000134
700,10.479999765753746
701,5.689999872818589
702,12.209999727085233
703,22.45999949797988
704,17.009999619796872
705,19.59999956190586
706,13.249999703839421
707,20.109999550506473
708,14.839999668300152
709,21.2999995239079
710,14.4099996779114
711,12.369999723508954
712,10.039999775588512
713,19.94999955408275
714,20.48999954201281
715,23.189999481663108
716,19.839999556541443
717,16.779999624937773
718,17.909999599680305
719,21.019999530166388
720,10.639999762177467
721,17.22999961487949
722,6.809999847784638
723,18.73999958112836
724,13.229999704286456
725,25.899999421089888
726,11.089999752119184
727,21.249999525025487
728,17.57999960705638
729,12.58999971859157
730,10.759999759495258
731,23.31999947875738
732,21.56999951787293
733,7.439999833703041
734,9.159999795258045
735,22.72999949194491
736,20.429999543353915
